week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Date,Temp_C
8th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21.0,1.4,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,2022-02-23,26.07000000000005
9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21.0,1.6,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,2022-02-24,29.74333340000004
9th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21.0,1.4,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,2022-02-23,26.07000000000005
9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359.0,0.6,5,3,2022,22.642931,88.8930579,0.0127255705,12.0,299.72,2022-03-05,26.57000000000005
9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21.0,1.6,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,2022-02-24,29.74333340000004
9th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,27.0,0.6,3,3,2022,13.3400771,77.1006208,6.49e-05,7.0,308.4633334,2022-03-03,35.31333340000003
9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21.0,1.4,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,2022-02-23,26.07000000000005
9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359.0,0.6,5,3,2022,22.642931,88.8930579,0.0127255705,12.0,299.72,2022-03-05,26.57000000000005
10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,57.0,0.4,8,3,2022,20.952407,72.9323831,0.0001374485643,4.0,307.9233334,2022-03-08,34.77333340000001
10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14.0,0.6,6,3,2022,23.2232877,72.6492267,7.1e-05,14.4,307.38,2022-03-06,34.23000000000002
10th week,Gujarat,Anand,Acute Gastroenteritis,24.0,0.6,5,3,2022,22.5584995,72.9625629,5.63e-05,12.2,307.34000000000003,2022-03-05,34.190000000000055
10th week,Telangana,Nalgonda,Dengue,6.0,0.2,11,3,2022,16.8579636,79.21749353,0.0001335467262,8.0,309.556,2022-03-11,36.406000000000006
10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,556.0,0.6,5,3,2022,22.642931,88.8930579,0.0127255705,12.0,299.72,2022-03-05,26.57000000000005
10th week,Kerala,Trivandrum,Dengue,9.0,0.6,22,2,2022,8.4882267,76.947551,0.09370353234,46.0,301.496,2022-02-22,28.346000000000004
10th week,Tamil Nadu,Ariyalur,Dengue,6.0,0.6,5,2,2022,11.07603595,79.11745538,0.01250872941,10.0,303.384,2022-02-05,30.234000000000037
10th week,Tamil Nadu,Ariyalur,pyrexia of unknown origin,15.0,0.4,31,1,2022,11.07603595,79.11745538,0.08308958667,10.0,300.355,2022-01-31,27.20500000000004
10th week,Tamil Nadu,Virudhunagar,Dengue,17.0,0.4,16,2,2022,9.5208936,77.8784564,0.3079754379,7.0,306.0,2022-02-16,32.85000000000002
11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,25.0,0.6,17,3,2022,14.7874825,75.3996731,0.00127512791,20.0,307.064,2022-03-17,33.914000000000044
11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,36.0,0.6,18,3,2022,14.7874825,75.3996731,0.001077243378,20.0,307.02,2022-03-18,33.870000000000005
11th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,16.0,0.6,11,3,2022,9.98408,76.2741457,0.04311431044,38.0,303.712,2022-03-11,30.562000000000012
11th week,Maharashtra,Akola,Chikungunya,9.0,0.8,12,3,2022,20.76181225,77.19211567,0.01140150866,5.0,311.4666666,2022-03-12,38.31666660000002
11th week,Odisha,Koraput,Acute Diarrhoeal Disease,41.0,0.4,22,3,2022,18.7232023,82.60811828,0.0004851654548,11.4,307.552,2022-03-22,34.402000000000044
12th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19.0,0.4,27,3,2022,20.952407,72.9323831,8.8e-05,4.0,309.62,2022-03-27,36.47000000000003
12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,19.0,0.2,23,3,2022,22.75,72.833333,8.42e-05,6.0,311.62333340000004,2022-03-23,38.47333340000006
12th week,Karnataka,Dakshin Kannada,Acute Diarrhoeal Disease,29.0,1.0,23,3,2022,12.8827367,75.0309089,0.1548463487,23.0,303.66,2022-03-23,30.510000000000048
12th week,Maharashtra,Raigad,Dengue,11.0,0.6,21,3,2022,18.4928092,73.13807095,0.0001800343472,10.8,312.184,2022-03-21,39.03400000000005
12th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,14.0,0.4,24,3,2022,11.07603595,79.11745538,0.003166009915,8.0,308.436,2022-03-24,35.286
12th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,35.0,0.4,26,3,2022,22.5760669,88.42006758,0.01326398044,13.0,304.952,2022-03-26,31.80200000000002
13th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21.0,1.0,21,3,2022,9.98408,76.2741457,0.2802161895,8.4,302.56,2022-03-21,29.410000000000025
13th week,Kerala,Thrissur,Acute Diarrhoeal Disease,7.0,2.0,30,3,2022,10.5256264,76.2132542,0.6296586828,5.8,302.385,2022-03-30,29.235000000000014
13th week,Kerala,thiruvananthapuram,Dengue,8.0,0.8,16,3,2022,8.4882267,76.947551,0.07619242379,38.0,305.112,2022-03-16,31.962000000000046
13th week,Karnataka,Davanagere,Acute Diarrhoeal Disease,21.0,0.6,29,3,2022,14.4661266,75.9206361,0.0152337369,10.4,307.625,2022-03-29,34.47500000000002
13th week,Odisha,Koraput,Acute Diarrhoeal Disease,9.0,0.6,4,3,2022,18.7232023,82.60811828,5.11e-05,11.0,306.932,2022-03-04,33.78200000000004
13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,83.0,5.2,5,3,2022,19.4129711,85.04710406,0.05949771212893999,10.4,304.2933334,2022-03-05,31.143333400000017
13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,69.0,0.6,3,4,2022,19.4129711,85.04710406,0.59659608514,11.0,303.648,2022-04-03,30.498000000000047
13th week,Odisha,Koraput,Acute Diarrhoeal Disease,8.0,0.2,28,3,2022,18.7232023,82.60811828,0.0006149952725,11.0,308.19333340000003,2022-03-28,35.04333340000005
13th week,Tamil Nadu,Pudukkottai,Dengue,15.0,0.8,30,3,2022,10.5,78.833333,0.06721439309,13.8,306.37,2022-03-30,33.22000000000003
14th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,12.0,1.0,2,4,2022,12.9324457,74.9813132,0.1516883933,19.0,303.228,2022-04-02,30.07800000000003
14th week,Telangana,Hyderabad,Acute Diarrhoeal Disease,95.0,0.4,8,4,2022,17.360589,78.4740613,0.0008799355934,6.0,312.86400000000003,2022-04-08,39.714000000000055
14th week,West Bengal,Hooghly,Cholera,50.0,1.2,6,4,2022,22.9052114,88.3760639,0.01606103471,10.6,301.768,2022-04-06,28.617999999999995
15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,32.0,0.6,11,4,2022,19.4129711,85.04710406,1.4652123632600003,12.0,303.004,2022-04-11,29.854000000000042
15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,39.0,0.6,8,4,2022,19.4129711,85.04710406,1.33047023526,12.0,302.56,2022-04-08,29.410000000000025
15th week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,14.0,0.8,17,4,2022,11.7406259,78.9637131,0.3512801639,10.0,312.57,2022-04-17,39.420000000000016
15th week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,105.0,10.2,12,4,2022,22.3599134,87.41331448,0.001576650271,17.0,303.61,2022-04-12,30.460000000000036
15th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,132.0,0.4,17,4,2022,22.642931,88.8930579,0.1245795666,16.0,302.7066666,2022-04-17,29.556666600000028
15th week,Kerala,Palakkad,Dengue,18.0,1.0,26,3,2022,10.78789845,76.47408711,0.2079999161,23.0,305.46,2022-03-26,32.31
16th week,Haryana,Panipat,Acute Diarrhoeal Disease,6.0,0.8,23,4,2022,29.3912753,76.9771675,0.007797900735,10.8,309.8166666,2022-04-23,36.66666660000004
16th week,Kerala,Kollam,Acute Diarrhoeal Disease,61.0,1.4,24,4,2022,8.8879509,76.5955013,0.3409555758,13.0,302.42,2022-04-24,29.27000000000004
16th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,6.0,0.0,19,4,2022,8.4882267,76.947551,0.7656736237,40.0,302.245,2022-04-19,29.095000000000027
16th week,Odisha,Kandhamal,Acute Diarrhoeal Disease,11.0,0.8,18,4,2022,20.13069385,84.07904761,0.01136203033,10.0,310.692,2022-04-18,37.54200000000003
16th week,Odisha,Ganjam,Cholera,23.0,0.6,21,4,2022,19.4129711,85.04710406,0.9494183603799999,11.0,304.55333340000004,2022-04-21,31.403333400000065
16th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,71.0,0.4,19,4,2022,22.5760669,88.42006758,0.001930660318,10.0,304.93333340000004,2022-04-19,31.78333340000006
16th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,91.0,1.8,18,4,2022,23.41146995,87.84499445,0.1065287191,11.0,306.0133334,2022-04-18,32.863333400000045
16th week,West Bengal,Howrah,Cholera,53.0,0.6,17,4,2022,22.5736296,88.3251045,0.002075951935,10.0,305.268,2022-04-17,32.117999999999995
17th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40.0,0.8,24,4,2022,13.0070817,76.0992703,0.09880602699,10.0,303.87,2022-04-24,30.720000000000027
17th week,Kerala,Kollam,Acute Diarrhoeal Disease,63.0,0.8,29,4,2022,8.8879509,76.5955013,0.3002021842,13.0,301.72,2022-04-29,28.57000000000005
17th week,Odisha,Ganjam,Acute Diarrhoeal Disease,29.0,0.6,26,4,2022,19.4129711,85.04710406,0.78081371596,11.0,306.316,2022-04-26,33.166
17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,17.0,0.2,28,4,2022,11.07603595,79.11745538,0.03080676776,8.0,310.16,2022-04-28,37.01000000000005
17th week,West Bengal,Hooghly,Acute Diarrhoeal Disease,40.0,0.6,25,4,2022,22.9052114,88.3760639,0.04226417578,12.0,302.65000000000003,2022-04-25,29.500000000000057
17th week,Gujarat,Navsari,Acute Diarrhoeal Disease,21.0,0.6,2,1,2022,20.952407,72.9323831,0.00499654567,5.0,298.955,2022-01-02,25.805000000000007
17th week,Kerala,Ernakulam,Dengue,16.0,1.4,28,3,2022,9.98408,76.2741457,0.2976702684,30.0,303.396,2022-03-28,30.246000000000038
18th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,30.0,0.4,28,4,2022,16.21399145,81.02572814,0.001602218663,7.0,308.756,2022-04-28,35.605999999999995
18th week,Gujarat,Sabarkantha,Dengue,4.0,3.0,26,4,2022,24.0294885,73.0459884,0.0004518239242,7.0,318.4766666,2022-04-26,45.32666660000001
18th week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,10.0,0.8,4,5,2022,8.4882267,76.947551,0.2774664184,45.0,301.6866666,2022-05-04,28.536666600000046
18th week,Madhya Pradesh,Mandsaur,Acute Diarrhoeal Disease,254.0,1.0,7,5,2022,24.2651306,75.38718194,0.0113970782,3.0,317.3666666,2022-05-07,44.216666599999996
18th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,113.0,0.8,25,4,2022,30.7041168,76.7176885,0.00900936075,6.0,309.4233334,2022-04-25,36.27333340000001
18th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15.0,2.8,7,5,2022,12.7948109,79.0006411,0.1129625705,10.0,306.572,2022-05-07,33.422000000000025
18th week,Jharkhand,East Singhbhum,Malaria,37.0,1.0,21,4,2022,22.8092139,86.2091549,0.04142995706,7.0,311.8366666,2022-04-21,38.686666600000024
18th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,11.0,0.6,25,4,2022,31.38524095,75.30552274,0.01893975441,5.0,310.79200000000003,2022-04-25,37.64200000000005
18th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40.0,1.0,26,4,2022,13.0070817,76.0992703,0.004949535238,10.0,303.745,2022-04-26,30.595000000000027
18th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,85.0,0.4,7,5,2022,13.9326093,75.574978,0.01528495932,16.0,302.1966666,2022-05-07,29.046666600000037
19th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,33.0,0.8,13,5,2022,20.52684285,82.187831,0.1969795804,11.0,307.805,2022-05-13,34.65500000000003
19th week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,57.0,0.8,7,5,2022,21.9671264,82.66472425,0.003964035342,9.0,311.408,2022-05-07,38.25800000000004
19th week,Gujarat,Navsari,Acute Diarrhoeal Disease,47.0,0.4,15,5,2022,20.952407,72.9323831,8.75e-05,3.0,307.56333340000003,2022-05-15,34.413333400000056
19th week,Karnataka,Kalaburagi,Cholera,144.0,0.6,7,5,2022,17.166667,77.083333,0.006687553635,3.0,318.132,2022-05-07,44.98200000000003
19th week,Karnataka,Tumkur,Acute Diarrhoeal Disease,13.0,1.2,13,5,2022,13.3400771,77.1006208,0.44945788,9.0,303.58,2022-05-13,30.430000000000007
19th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,65.0,0.8,9,5,2022,9.98408,76.2741457,0.5794966868,4.6,300.8066666,2022-05-09,27.65666660000005
19th week,Kerala,Kozhikode,Acute Diarrhoeal Disease,100.0,5.6,8,5,2022,11.2450558,75.7754716,0.595196898,15.8,301.80039999999997,2022-05-08,28.65039999999999
19th week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,15.0,0.4,13,5,2022,26.166667,77.5,0.0002114471021,3.0,316.4866666,2022-05-13,43.3366666
19th week,Maharashtra,Jalgaon,Dengue,9.0,1.0,6,5,2022,20.84288265,75.52612464,0.0001810070481,4.0,319.8166666,2022-05-06,46.66666660000004
19th week,Odisha,Ganjam,Acute Diarrhoeal Disease,22.0,0.6,10,5,2022,19.4129711,85.04710406,0.6881237343800001,11.0,302.8666666,2022-05-10,29.716666599999996
19th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,18.0,0.0,11,5,2022,30.7041168,76.7176885,0.03361474363,7.0,307.8933334,2022-05-11,34.74333340000004
19th week,Rajasthan,Bikaner,Acute Diarrhoeal Disease,27.0,1.0,12,5,2022,28.0159286,73.3171367,8.15e-05,2.0,321.53000000000003,2022-05-12,48.38000000000005
19th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15.0,1.0,6,5,2022,12.7948109,79.0006411,0.1081991632,10.0,308.48400000000004,2022-05-06,35.33400000000006
19th week,West Bengal,Jalpaiguri,Dengue,272.0,2.4,8,5,2022,26.4733048,88.67886686,0.2161416423,4.4,304.6,2022-05-08,31.450000000000045
19th week,Maharashtra,Sindhudurg,Malaria (PV),5.0,0.4,4,5,2022,16.1357193,73.6522086,0.01160296462,19.0,305.68333340000004,2022-05-04,32.53333340000006
19th week,Karnataka,Hassan,Acute Diarrhoeal Disease,20.0,0.2,9,5,2022,13.0070817,76.0992703,0.1548253362,6.0,302.324,2022-05-09,29.174000000000035
20th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,29.0,1.8,15,5,2022,15.6589741,79.47164373,0.9649838386,6.0,308.2466666,2022-05-15,35.09666660000005
20th week,Assam,Udalguri,Acute Diarrhoeal Disease,14.0,1.8,17,5,2022,26.77253155,92.10641749,2.407587488,6.8,300.92,2022-05-17,27.77000000000004
20th week,Kerala,Alappuzha,Dengue,7.0,0.4,17,5,2022,9.5006651,76.41241429,1.823726827,12.4,301.866,2022-05-17,28.716000000000008
20th week,Kerala,Thiruvananthapuram,Dengue,7.0,1.2,13,5,2022,8.4882267,76.947551,0.3247661756,12.0,302.87,2022-05-13,29.720000000000027
20th week,Kerala,Wayanad,Acute Diarrhoeal Disease,22.0,1.0,13,5,2022,11.715219,76.12690295,0.6217835649,6.0,301.55,2022-05-13,28.400000000000034
20th week,Karnataka,Ballari,Acute Diarrhoeal Disease,22.0,0.6,17,5,2022,15.2485413,76.8323648,0.2310053668,5.8,312.53000000000003,2022-05-17,39.38000000000005
20th week,Maharashtra,Pune,Dengue,21.0,1.0,16,5,2022,18.521428,73.8544541,0.008698042455,9.0,309.265,2022-05-16,36.11500000000001
20th week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,12.0,0.6,18,5,2022,25.1010477,82.62574936,0.0004174087149,4.0,313.0,2022-05-18,39.85000000000002
20th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,13.0,0.8,11,5,2022,13.3400771,77.1006208,0.1539146664,9.0,304.56,2022-05-11,31.410000000000025
20th week,Maharashtra,Pune,Dengue,12.0,0.2,23,4,2022,18.521428,73.8544541,0.01502899002,10.2,314.96,2022-04-23,41.81
20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,110.0,1.4,12,5,2022,25.4425965,92.29882747,1.120595492,17.0,302.0133334,2022-05-12,28.863333400000045
20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,60.0,1.4,1,5,2022,25.4425965,92.29882747,0.7205701934,9.2,300.456,2022-05-01,27.30600000000004
21st week,Arunachal Pradesh,West Kameng,Acute Diarrhoeal Disease,37.0,2.0,27,5,2022,27.4,92.35,1.087377988,18.0,291.86,2022-05-27,18.710000000000036
21st week,Kerala,Kozhikode,Acute Diarrhoeal Disease,42.0,0.6,24,5,2022,11.2450558,75.7754716,2.568560169,7.2,301.15999999999997,2022-05-24,28.00999999999999
21st week,Kerala,Palakkad,Acute Diarrhoeal Disease,29.0,1.0,23,5,2022,10.78789845,76.47408711,1.851591895,10.0,296.47,2022-05-23,23.32000000000005
21st week,Madhya Pradesh,Ratlam,Acute Diarrhoeal Disease,113.0,0.4,22,5,2022,23.4805919,74.91931943,2.79e-05,3.0,317.87,2022-05-22,44.72000000000003
21st week,Maharashtra,Chandrapur,Malaria,13.0,1.0,25,5,2022,20.0967555,79.50454752,0.006072435084,9.0,314.545,2022-05-25,41.39500000000004
21st week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,37.0,0.6,23,5,2022,20.75,85.5,0.006900563323,16.0,305.02,2022-05-23,31.870000000000005
21st week,Puducherry,Karaikal,Acute Diarrhoeal Disease,113.0,0.6,26,5,2022,10.91571,79.8375761,0.03765778924,11.0,306.88,2022-05-26,33.73000000000002
21st week,Uttar Pradesh,Sant Ravidas Nagar,Acute Diarrhoeal Disease,21.0,1.0,21,5,2022,25.3560294,82.50057725,0.03582953885,4.0,311.22400000000005,2022-05-21,38.07400000000007
21st week,Karnataka,Udupi,Dengue,92.0,1.6,17,5,2022,13.3419169,74.7473232,0.8331679728,12.4,302.55,2022-05-17,29.400000000000034
21st week,Kerala,Palakkad,Dengue,18.0,1.6,3,5,2022,10.78789845,76.47408711,0.7507618224,11.0,302.5066666,2022-05-03,29.35666660000004
21st week,Punjab,Patiala,Acute Diarrhoeal Disease,218.0,2.0,11,4,2022,30.2090874,76.33987209,0.0004382394791,5.0,311.5233334,2022-04-11,38.373333400000035
22nd week,Assam,Baksa,Acute Diarrhoeal Disease,15.0,0.6,31,5,2022,26.62758805,91.46190527,0.1341413536,29.0,301.835,2022-05-31,28.685000000000002
22nd week,Gujarat,Chhota Udepur,Acute Diarrhoeal Disease,203.0,1.8,29,6,2022,22.3148736,74.0141067,0.2976319834,5.0,309.9733334,2022-06-29,36.823333400000024
22nd week,Haryana,Gurugram,Acute Diarrhoeal Disease,6.0,0.6,30,5,2022,28.4646148,77.0299194,0.06665708229,5.0,303.99333340000004,2022-05-30,30.843333400000063
22nd week,Karnataka,Kalaburagi,Acute Diarrhoeal Disease,16.0,1.6,1,6,2022,17.166667,77.083333,0.009536169368,10.8,315.56,2022-06-01,42.410000000000025
22nd week,Karnataka,Mysuru,Acute Diarrhoeal Disease,41.0,0.6,30,5,2022,12.3051828,76.6553609,0.1448342286,12.0,301.868,2022-05-30,28.718000000000018
22nd week,Karnataka,Raichur,Acute Diarrhoeal Disease,321.0,3.0,29,5,2022,16.083333,77.166667,0.0016348589,4.0,310.876,2022-05-29,37.726
22nd week,Karnataka,Vijayapura,Chikungunya,13.0,1.0,1,6,2022,16.666667,75.916667,0.00807218942,11.2,312.47200000000004,2022-06-01,39.32200000000006
22nd week,Kerala,Alappuzha,Acute Diarrhoeal Disease,9.0,1.0,27,5,2022,9.5006651,76.41241429,0.8318191286,24.0,299.235,2022-05-27,26.085000000000036
22nd week,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,48.0,0.0,17,3,2022,26.2037247,78.1573628,0.00012831976,8.0,307.3266666,2022-03-17,34.17666660000003
22nd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,4.0,0.4,31,5,2022,26.166667,77.5,0.005249182568,3.0,311.6,2022-05-31,38.450000000000045
22nd week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,136.0,2.0,31,5,2022,22.9467047,79.1980228,0.02829364721,9.0,308.0733334,2022-05-31,34.92333340000005
22nd week,Madhya Pradesh,Sheopur,Acute Diarrhoeal Disease,56.0,1.0,4,6,2022,25.6656611,76.6954843,2.4e-05,4.0,313.59000000000003,2022-06-04,40.440000000000055
22nd week,Maharashtra,Gadchiroli,Malaria,310.0,1.0,29,5,2022,19.75907035,80.16228073,0.00876199396,10.0,311.0866666,2022-05-29,37.936666600000024
22nd week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,41.0,3.6,1,6,2022,21.1498134,79.0820556,0.03655443505,11.0,313.49333340000004,2022-06-01,40.34333340000006
22nd week,Maharashtra,Pune,Acute Diarrhoeal Disease,97.0,0.8,20,5,2022,18.521428,73.8544541,0.009360110755,6.0,310.9133334,2022-05-20,37.76333340000002
22nd week,Maharashtra,Satara,Chikungunya,5.0,0.6,31,5,2022,17.63612885,74.29827808,0.005179040241,5.0,315.36400000000003,2022-05-31,42.214000000000055
22nd week,Odisha,Mayurbhanj,Acute Diarrhoeal Disease,73.0,1.2,31,5,2022,21.75,86.5,0.1835894759,14.0,304.444,2022-05-31,31.29400000000004
22nd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,24.0,1.8,3,6,2022,12.09680475,78.19304301,0.08874493976,13.0,306.105,2022-06-03,32.95500000000004
22nd week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,40.0,1.2,30,5,2022,11.7406259,78.9637131,0.2016062298,12.0,306.932,2022-05-30,33.78200000000004
22nd week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,9.0,1.0,3,6,2022,10.7860267,79.1381497,0.1644044216,9.0,310.305,2022-06-03,37.15500000000003
22nd week,Uttarakhand,Udham Singh Nagar,Acute Diarrhoeal Disease,39.0,0.4,30,5,2022,29.0480988,79.43131332,0.1078197664,28.0,300.28000000000003,2022-05-30,27.130000000000052
22nd week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,30.0,1.0,31,5,2022,27.25264095,82.86964796,0.05871040047,5.0,308.695,2022-05-31,35.545000000000016
22nd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,21.0,1.0,16,5,2022,15.52481495,78.41517104,0.4907972928,3.6,303.26,2022-05-16,30.110000000000014
22nd week,Arunachal Pradesh,Upper Siang,Malaria,36.0,1.4,12,5,2022,28.73120455,95.03773151,1.142611934,25.0,296.955,2022-05-12,23.805000000000007
22nd week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,33.0,0.6,23,5,2022,21.9671264,82.66472425,0.01173879236,9.0,311.144,2022-05-23,37.99400000000003
22nd week,Jharkhand,Ranchi,Acute Diarrhoeal Disease,21.0,0.2,20,5,2022,23.3700501,85.3250387,0.06576300589,8.0,308.388,2022-05-20,35.238
22nd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,11.0,0.8,26,5,2022,8.4882267,76.947551,0.7205429192,32.0,300.48,2022-05-26,27.33000000000004
23rd week,Assam,Dibrugarh,Acute Diarrhoeal Disease,18.0,0.4,10,6,2022,27.4844597,94.9019447,0.8621149921,6.0,294.68,2022-06-10,21.53000000000003
23rd week,Assam,Karbi Anglong,Acute Diarrhoeal Disease,54.0,1.0,9,6,2022,26.0,93.5,1.127105814,8.0,301.81333340000003,2022-06-09,28.663333400000056
23rd week,Assam,Sonitpur,Dengue,2.0,1.8,3,6,2022,26.76777075,92.70140886,0.5937271413,9.0,301.796,2022-06-03,28.646000000000015
23rd week,Chhattisgarh,Jashpur,Acute Diarrhoeal Disease,12.0,0.0,7,6,2022,22.76678355,83.95304519,0.002634188494,15.0,307.896,2022-06-07,34.74600000000004
23rd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,25.0,1.0,6,6,2022,21.5174104,70.4642754,0.0008335765121,4.0,315.92400000000004,2022-06-06,42.77400000000006
23rd week,Jharkhand,West Singhbhum,Acute Diarrhoeal Disease,4.0,2.0,6,6,2022,22.7859232,86.1716093,0.1341750695,11.0,306.05333340000004,2022-06-06,32.903333400000065
23rd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,9.0,0.8,7,6,2022,8.4882267,76.947551,0.3557420819,25.0,300.896,2022-06-07,27.746000000000038
23rd week,Madhya Pradesh,Bhopal,Acute Diarrhoeal Disease,32.0,0.4,7,6,2022,23.2584857,77.401989,4.81e-05,6.0,316.18333340000004,2022-06-07,43.03333340000006
